table,row,result_group,n_json,evidence_status,paper_A_auc,paper_A_last,paper_A_avg,paper_F_last,paper_BWT,json_A_auc_mean,json_A_auc_std,json_A_last_mean,json_A_last_std,json_A_avg_mean,json_A_avg_std,json_F_last_mean,json_F_last_std,json_BWT_mean,json_BWT_std,note
A.7 Mask Types,No Mask,,0,NO_ARCHIVED_JSON_MAPPING,78.73,83.62,,,,,,,,,,,,,,Report value exists; no local mask_type=no_mask config / JSON mapping
A.7 Mask Types,Random Mask,,0,NO_ARCHIVED_JSON_MAPPING,78.32,81.88,,,,,,,,,,,,,,Report value exists; no local mask_type=random config / JSON mapping
A.7 Mask Types,Seen-Class Mask,results_plan_cifar100_mask_seen_class_amp,5,ARCHIVED_JSON,78.75,82.87,,,,77.04,0.79,80.83,0.53,81.50,0.70,5.20,0.14,1.00,0.17,Paper Seen-Class Mask
A.7 Mask Types,Batch Seen-Class Mask,results_balanced_v6_amp,5,ARCHIVED_JSON,83.24,86.76,,,,81.47,0.61,84.59,0.37,83.86,0.70,3.79,0.28,1.87,0.34,Paper Batch Seen-Class Mask
